Freq (Hz),Re,Im
9.845,-2.27E-07,-5.30E-08
9.88,-2.33E-07,-4.13E-08
9.915,-2.38E-07,-2.93E-08
9.95,-2.42E-07,-1.68E-08
9.985,-2.46E-07,-4.03E-09
10.02,-2.49E-07,9.14E-09
10.055,-2.51E-07,2.26E-08
10.09,-2.53E-07,3.64E-08
10.125,-2.54E-07,5.04E-08
10.16,-2.54E-07,6.47E-08
10.195,-2.54E-07,7.91E-08
10.23,-2.52E-07,9.36E-08
10.265,-2.50E-07,1.08E-07
10.3,-2.47E-07,1.23E-07
10.335,-2.43E-07,1.38E-07
10.37,-2.39E-07,1.52E-07
10.405,-2.33E-07,1.67E-07
10.44,-2.27E-07,1.81E-07
10.475,-2.18E-07,1.95E-07
10.51,-2.06E-07,2.07E-07
10.545,-1.94E-07,2.18E-07
10.58,-1.80E-07,2.29E-07
10.615,-1.66E-07,2.39E-07
10.65,-1.52E-07,2.48E-07
10.685,-1.37E-07,2.56E-07
10.72,-1.22E-07,2.63E-07
10.755,-1.06E-07,2.69E-07
10.79,-9.02E-08,2.74E-07
10.825,-7.40E-08,2.79E-07
10.86,-5.75E-08,2.82E-07
10.895,-4.10E-08,2.85E-07
10.93,-2.43E-08,2.86E-07
10.965,-7.59E-09,2.87E-07
11,9.08E-09,2.86E-07
11.035,2.57E-08,2.85E-07
11.07,4.21E-08,2.82E-07
11.105,5.84E-08,2.79E-07
11.14,7.44E-08,2.75E-07
11.175,9.01E-08,2.69E-07
11.21,1.05E-07,2.63E-07
11.245,1.20E-07,2.56E-07
11.28,1.35E-07,2.48E-07
11.315,1.49E-07,2.40E-07
11.35,1.62E-07,2.30E-07
11.385,1.75E-07,2.20E-07
11.42,1.87E-07,2.09E-07
11.455,1.99E-07,1.98E-07
11.49,2.10E-07,1.85E-07
11.525,2.20E-07,1.73E-07
11.56,2.32E-07,1.64E-07
11.595,2.47E-07,1.58E-07
11.63,2.61E-07,1.51E-07
11.665,2.76E-07,1.42E-07
11.7,2.91E-07,1.33E-07
